MGT_type,Clades,Lineages,Continents_70%,Source,Temporal,Outbreak,MDR_MGT-ST
MGT6_ST1655,,,Europe,,,,
MGT6_ST1672,,,North America,,,,
MGT6_ST1674,,,Europe,,,,
MGT6_ST1677,,,Europe,,,,
MGT6_ST1683,,,Europe,,,,
MGT6_ST1698,,,Europe,,,,
MGT6_ST1699,,,Europe,,,,
MGT6_ST17,,,Africa,,,,
MGT6_ST1701,,,Europe,,,,
MGT6_ST1734,,,Europe,,,,
MGT6_ST1753,,,Europe,,,,
MGT6_ST1768,,,Europe,,,,
MGT6_ST1785,,,Europe,,,,
MGT6_ST1818,,,Europe,,,,
MGT6_ST1820,,,Europe,,,,
MGT6_ST1878,,,North America,,,,
MGT6_ST19,,,Europe,,,,
MGT6_ST1900,,,North America,,,,
MGT6_ST1915,,,North America,,,,
MGT6_ST1929,,,North America,,,,
MGT6_ST1937,,,North America,,,,
MGT6_ST1945,,,North America,,,,
MGT6_ST1957,,,North America,,,,
MGT6_ST1958,,,North America,,,,
MGT6_ST1965,,,North America,,,,
MGT6_ST1977,,,North America,,,,
MGT6_ST1982,,,North America,,,,
MGT6_ST1995,,,North America,,,,
MGT6_ST2009,,,North America,,,,
MGT6_ST2021,,,North America,,,,
MGT6_ST2022,,,North America,,,,
MGT6_ST2039,,,North America,,,,
